index,r2,mse
1,-0.1985093355178833,1.529488444328308
2,0.27025628089904785,0.9312690496444702
3,0.4226204752922058,0.736828088760376
4,0.4781501889228821,0.665963351726532
5,0.5393506288528442,0.5878618955612183
6,0.5593588948249817,0.5623281598091125
7,0.5849916338920593,0.52961665391922
8,0.6009379625320435,0.5092665553092957
9,0.6157204508781433,0.4904018044471741
10,0.6229333281517029,0.4811970293521881
11,0.6310464143753052,0.4708434045314789
12,0.6368287205696106,0.46346431970596313
13,0.6437791585922241,0.4545944929122925
14,0.6509243249893188,0.44547608494758606
15,0.6567062735557556,0.43809735774993896
16,0.6574465036392212,0.4371527433395386
17,0.6563886404037476,0.4385027289390564
18,0.6691752076148987,0.4221850335597992
19,0.6742849946022034,0.4156641364097595
20,0.6644066572189331,0.4282703995704651
21,0.6746726036071777,0.41516944766044617
22,0.678911566734314,0.40975984930992126
23,0.6819377541542053,0.40589800477027893
24,0.6741120219230652,0.4158848524093628
25,0.6758727431297302,0.4136379063129425
26,0.688532292842865,0.397482305765152
27,0.6843621730804443,0.40280401706695557
28,0.6941288709640503,0.39034023880958557
29,0.6905756592750549,0.3948746621608734
30,0.6921635270118713,0.39284828305244446
31,0.6936695575714111,0.3909263610839844
32,0.6915292739868164,0.39365771412849426
33,0.6921358108520508,0.39288365840911865
34,0.6892156004905701,0.3966103196144104
35,0.6995542049407959,0.3834165930747986
36,0.7048444747924805,0.3766653537750244
37,0.6983599662780762,0.38494062423706055
38,0.6965194940567017,0.3872893452644348
39,0.699547290802002,0.38342544436454773
40,0.7073572874069214,0.3734586238861084
41,0.7019087076187134,0.38041186332702637
42,0.7000387907028198,0.3827982246875763
43,0.7055721282958984,0.3757368326187134
44,0.7068603038787842,0.37409287691116333
45,0.7088341116905212,0.3715739846229553
46,0.7118709087371826,0.3676985502243042
47,0.7062594890594482,0.37485960125923157
48,0.7095872163772583,0.37061285972595215
49,0.7109726071357727,0.3688449263572693
50,0.7152634859085083,0.36336907744407654
51,0.7077986001968384,0.3728954792022705
52,0.7220146656036377,0.3547535240650177
53,0.7220598459243774,0.35469579696655273
54,0.7152219414710999,0.36342209577560425
55,0.7188445329666138,0.3587990403175354
56,0.7209233045578003,0.3561462461948395
57,0.7171074151992798,0.3610159158706665
58,0.721962571144104,0.35482001304626465
59,0.7215641140937805,0.3553284704685211
60,0.7148815989494324,0.36385640501976013
61,0.7224165797233582,0.3542405664920807
62,0.7233239412307739,0.35308265686035156
63,0.7180726528167725,0.35978418588638306
64,0.7272231578826904,0.34810662269592285
65,0.7247867584228516,0.35121580958366394
66,0.7285176515579224,0.3464546799659729
67,0.7246721982955933,0.351362019777298
68,0.724016547203064,0.3521988093852997
69,0.7260621786117554,0.3495882749557495
70,0.7286314964294434,0.3463093042373657
71,0.7288590669631958,0.3460189402103424
72,0.724075436592102,0.35212358832359314
73,0.7294023036956787,0.34532564878463745
74,0.7347762584686279,0.33846768736839294
75,0.7352786064147949,0.33782655000686646
76,0.7338981628417969,0.3395882248878479
77,0.7317056059837341,0.34238627552986145
78,0.7329429388046265,0.3408072292804718
79,0.7362322807312012,0.33660954236984253
80,0.7251852750778198,0.3507072925567627
81,0.7312498092651367,0.3429679572582245
82,0.7332005500793457,0.3404785394668579
83,0.7353177070617676,0.33777672052383423
84,0.7371896505355835,0.3353877663612366
85,0.739244282245636,0.33276575803756714
86,0.7417949438095093,0.32951071858406067
87,0.7387731671333313,0.3333669900894165
88,0.7390909790992737,0.33296138048171997
89,0.738486111164093,0.33373332023620605
90,0.7367841005325317,0.33590537309646606
91,0.7433360815048218,0.3275439739227295
92,0.740342378616333,0.3313644230365753
93,0.73848557472229,0.33373403549194336
94,0.7416700124740601,0.32967016100883484
95,0.7459530830383301,0.3242042660713196
96,0.7421712875366211,0.32903048396110535
97,0.7380727529525757,0.33426088094711304
98,0.7465357780456543,0.3234606087207794
99,0.7461063861846924,0.32400867342948914
100,0.7419466972351074,0.32931703329086304
101,0.741532564163208,0.3298455774784088
102,0.7345250844955444,0.3387882113456726
103,0.7455382347106934,0.324733704328537
104,0.7428245544433594,0.32819679379463196
105,0.7379974126815796,0.3343569338321686
106,0.7369943857192993,0.3356369435787201
107,0.7467076778411865,0.32324129343032837
108,0.7435481548309326,0.3272733688354492
109,0.7420816421508789,0.32914480566978455
110,0.7412266135215759,0.3302359879016876
111,0.7418390512466431,0.3294544219970703
112,0.749254584312439,0.31999099254608154
113,0.7512463331222534,0.3174492418766022
