Date,Close,Open,High,Low,Volume,Percentage_change
6-May-21,759.5,761,768,746.25,2.42K,0.83%
5-May-21,753.25,750,756,740.75,1.78K,1.14%
4-May-21,744.75,732,758.25,730,1.83K,1.71%
3-May-21,732.25,740,758.25,724,3.09K,6.90%
2-May-21,685,685,685,685,-,-7.43%
30-Apr-21,740,702.5,746.25,699.25,9.86K,5.41%
29-Apr-21,702,683.75,704.5,681,30.79K,2.30%
28-Apr-21,686.25,697.75,720.5,676.25,107.99K,-1.33%
27-Apr-21,695.5,688.5,720.5,680.5,166.14K,2.20%
26-Apr-21,680.5,661,680.5,661,157.51K,6.70%
25-Apr-21,637.75,637.75,637.75,637.75,-,-2.71%
23-Apr-21,655.5,653,658.5,638.25,157.73K,0.77%
22-Apr-21,650.5,624.25,650.5,623.5,147.25K,4.00%
21-Apr-21,625.5,609.5,628.5,604.5,163.26K,3.13%
20-Apr-21,606.5,593,611.75,592.75,180.19K,2.45%
19-Apr-21,592,588.75,596.75,588.25,105.99K,0.27%
18-Apr-21,590.38,589.12,590.38,589.12,-,0.83%
16-Apr-21,585.5,590.5,594.75,583.25,165.26K,-0.76%
15-Apr-21,590,594.25,601.5,587.75,176.86K,-0.67%
14-Apr-21,594,579.75,597.75,578.75,242.72K,2.41%
13-Apr-21,580,569,584.5,565.5,225.72K,1.93%
12-Apr-21,569,577.75,586,567.25,198.64K,-1.66%
11-Apr-21,578.62,578.62,578.62,578.62,-,0.24%
9-Apr-21,577.25,579,595,575.5,249.74K,-0.43%
8-Apr-21,579.75,560.75,583,559.25,258.79K,3.43%
7-Apr-21,560.5,555.75,562.25,553.75,158.00K,1.13%
6-Apr-21,554.25,553.75,561.5,552.25,134.85K,0.18%
5-Apr-21,553.25,561.25,564.5,549.75,143.68K,-1.54%
4-Apr-21,561.88,561.88,561.88,561.88,-,0.38%
1-Apr-21,559.75,575,585,556.5,249.75K,-0.80%
31-Mar-21,564.25,538.25,564.25,536.25,145.90K,4.64%
30-Mar-21,539.25,546.25,547.5,533.75,136.03K,-1.37%
29-Mar-21,546.75,551.75,552,542.25,119.80K,-0.75%
28-Mar-21,550.88,550.88,550.88,550.88,-,-0.29%
26-Mar-21,552.5,546.5,554,544,124.03K,1.10%
25-Mar-21,546.5,552.25,552.5,541.5,142.18K,-1.22%
24-Mar-21,553.25,551,553.75,548.25,92.01K,0.36%
23-Mar-21,551.25,551.25,556,547.75,122.09K,0.41%
22-Mar-21,549,558,558.75,546.75,129.30K,-1.59%
21-Mar-21,557.88,557.88,557.88,557.88,-,0.02%
19-Mar-21,557.75,546.25,559,545.5,158.52K,2.06%
18-Mar-21,546.5,556.75,558,545.25,157.91K,-2.06%
17-Mar-21,558,554,558.5,552,129.65K,0.68%
16-Mar-21,554.25,549.5,555.5,546.75,132.71K,0.86%
15-Mar-21,549.5,537,550.75,532.75,140.62K,2.21%
14-Mar-21,537.62,537.62,537.62,537.62,-,-2.12%
12-Mar-21,549.25,545,551.5,544.5,0.07K,-1.04%
11-Mar-21,555,547,556.25,547,0.67K,1.32%
10-Mar-21,547.75,564.5,564.5,547.5,1.99K,-2.54%
9-Mar-21,562,565,565,554.25,2.22K,-0.53%
8-Mar-21,565,565.25,571.25,557,2.32K,0.53%
5-Mar-21,562,545,564.75,544.5,1.44K,2.88%
4-Mar-21,546.25,550.25,554.25,546,2.13K,-0.73%
3-Mar-21,550.25,560,560,548,3.81K,-1.87%
2-Mar-21,560.75,547.25,564,542,8.11K,2.42%
1-Mar-21,547.5,560.5,562.5,547,6.53K,-1.44%
26-Feb-21,555.5,554.5,556.5,546.25,21.40K,0.14%
25-Feb-21,554.75,559,560.5,542.5,128.54K,-0.80%
24-Feb-21,559.25,553.5,560.75,552,174.40K,0.99%
23-Feb-21,553.75,550.75,559.5,550,134.97K,0.50%
22-Feb-21,551,544.25,551.5,543.5,140.63K,1.52%
19-Feb-21,542.75,549.25,555.5,540.75,203.47K,-1.36%
18-Feb-21,550.25,552.75,554.5,548,123.41K,-0.50%
17-Feb-21,553,552,554.75,547.5,121.35K,0.14%
16-Feb-21,552.25,547,552.75,538.5,146.17K,2.34%
15-Feb-21,539.62,539.38,539.62,539.38,-,0.02%
14-Feb-21,539.5,539.5,539.5,539.5,-,0.14%
12-Feb-21,538.75,541,546.25,536.75,117.97K,-0.42%
11-Feb-21,541,532.25,546.5,524.75,261.05K,1.22%
10-Feb-21,534.5,556,556.25,531.75,285.72K,-3.91%
9-Feb-21,556.25,565,574.25,545,390.74K,-1.33%
8-Feb-21,563.75,548.75,565.75,548.75,267.65K,2.78%
5-Feb-21,548.5,548.5,552.25,545.5,216.45K,-0.27%
4-Feb-21,550,552,558,547,217.08K,-0.36%
3-Feb-21,552,543.25,552.5,536.5,210.14K,1.66%
2-Feb-21,543,549.75,552.5,540.25,175.74K,-1.14%
1-Feb-21,549.25,549,555.75,539,219.07K,0.41%
29-Jan-21,547,534.5,553.75,533.25,279.61K,2.34%
28-Jan-21,534.5,533.25,550.5,529,252.54K,0.09%
27-Jan-21,534,532.5,543.75,529.5,223.89K,0.33%
26-Jan-21,532.25,513,534.25,508,232.26K,4.06%
25-Jan-21,511.5,500,515.5,492.5,264.76K,2.20%
22-Jan-21,500.5,522.5,522.75,499.25,289.55K,-4.53%
21-Jan-21,524.25,521,531.5,519.25,169.57K,0.43%
20-Jan-21,522,525,526.5,512.75,217.78K,-0.76%
19-Jan-21,526,531.5,534.25,523.25,188.56K,-1.03%
15-Jan-21,531.5,534,536.5,527.75,167.50K,-0.51%
14-Jan-21,534.25,523,536.5,519,210.37K,1.86%
13-Jan-21,524.5,524,541.5,522.25,327.69K,1.40%
12-Jan-21,517.25,491.5,517.25,489.25,248.45K,5.08%
11-Jan-21,492.25,496.5,500.5,490.25,176.56K,-0.81%
8-Jan-21,496.25,494,499.5,492.5,163.27K,0.46%
7-Jan-21,494,495,496,487.25,185.78K,-0.20%
6-Jan-21,495,492.5,502.75,491.5,202.37K,0.66%
5-Jan-21,491.75,484.5,496,482.5,219.65K,1.65%
4-Jan-21,483.75,487.25,497.75,479.5,265.16K,-0.41%
1-Jan-21,485.75,485.75,485.75,485.75,-,0.36%
31-Dec-20,484,474,485.75,473,168.46K,2.00%
30-Dec-20,474.5,466,476,462,163.37K,1.82%
29-Dec-20,466,455.75,467.25,453.5,191.30K,2.08%
28-Dec-20,456.5,452,457.5,448,145.22K,1.22%
24-Dec-20,451,446.75,451.5,446.5,74.88K,0.84%
23-Dec-20,447.25,442.75,449.75,441.5,147.65K,0.85%
22-Dec-20,443.5,440,444.25,437.25,140.99K,0.80%
21-Dec-20,440,438,440.75,430.25,141.95K,0.57%
18-Dec-20,437.5,432.25,438.5,432,128.81K,1.16%
17-Dec-20,432.5,426.25,433,424.25,119.66K,1.23%
16-Dec-20,427.25,425.25,429.25,423.75,111.65K,0.59%
15-Dec-20,424.75,424,425.25,420.5,98.61K,1.31%
14-Dec-20,419.25,424.75,429.75,422,0.20K,-1.18%
11-Dec-20,424.25,422,424.5,417.5,1.72K,0.95%
10-Dec-20,420.25,422,425.75,420,1.26K,-0.41%
9-Dec-20,422,418,422.25,418,1.08K,1.20%
8-Dec-20,417,418.75,419,415.5,1.76K,-0.60%
7-Dec-20,419.5,415.25,421,412,1.16K,0.60%
4-Dec-20,417,422.25,422.75,415.75,1.68K,-1.30%
3-Dec-20,422.5,419.25,423.25,417.75,2.38K,0.84%
2-Dec-20,419,414.5,419.75,409,3.55K,1.02%
1-Dec-20,414.75,420,423,414,5.32K,-1.19%
30-Nov-20,419.75,427.5,430.5,418.25,14.70K,-1.35%
27-Nov-20,425.5,420.25,426.25,418.5,68.26K,1.31%
25-Nov-20,420,426,427.5,420,124.26K,-1.35%
24-Nov-20,425.75,425.75,426.5,416.5,144.30K,-0.18%
23-Nov-20,426.5,427.5,429.75,423.5,153.80K,0.77%
20-Nov-20,423.25,422.25,428,421.5,137.24K,0.18%
19-Nov-20,422.5,424.5,425.5,418.75,133.31K,-0.76%
18-Nov-20,425.75,419,428.5,418.5,205.43K,1.31%
17-Nov-20,420.25,417.5,422,417.25,156.57K,0.96%
16-Nov-20,416.25,409,416.75,409,132.12K,1.40%
13-Nov-20,410.5,407.5,413.25,403.75,188.49K,0.55%
12-Nov-20,408.25,417.25,418.5,406.25,234.33K,-2.16%
11-Nov-20,417.25,422.5,428,416.25,306.43K,-1.36%
10-Nov-20,423,407,427.25,406.25,355.81K,3.80%
9-Nov-20,407.5,405.75,410,401.75,204.11K,0.18%
6-Nov-20,406.75,409,412,405.75,200.68K,-0.61%
5-Nov-20,409.25,405,417.25,404,245.19K,0.99%
4-Nov-20,405.25,400,406,396.5,176.33K,1.06%
3-Nov-20,401,396.25,403.25,395.25,184.36K,0.88%
2-Nov-20,397.5,396,397.75,393,165.15K,-0.25%
30-Oct-20,398.5,397.25,400,394.25,209.48K,0.00%
29-Oct-20,398.5,401,404.25,393,279.41K,-0.75%
28-Oct-20,401.5,415,415.25,400.5,320.26K,-3.49%
27-Oct-20,416,416.75,422.25,415.5,207.08K,-0.42%
26-Oct-20,417.75,419.25,419.75,412.75,206.16K,-0.36%
23-Oct-20,419.25,415,420,414,168.92K,0.72%
22-Oct-20,416.25,413.75,419,410.75,196.23K,0.60%
21-Oct-20,413.75,408.25,415.25,407.75,216.17K,1.22%
20-Oct-20,408.75,404.25,409.75,403.5,179.89K,0.86%
19-Oct-20,405.25,401.75,406.75,400.75,167.47K,0.96%
18-Oct-20,401.38,401.38,401.38,401.38,-,-0.15%
16-Oct-20,402,403.25,409,401.75,226.81K,-0.43%
15-Oct-20,403.75,396,404.25,393.5,245.38K,1.83%
14-Oct-20,396.5,391,397.5,388,183.51K,1.34%
13-Oct-20,391.25,389,392.75,388,130.27K,0.58%
12-Oct-20,389,395.5,399.25,387.25,193.54K,-1.74%
11-Oct-20,395.88,395.88,395.88,395.88,-,0.22%
9-Oct-20,395,387,398.25,386.5,280.95K,2.07%
8-Oct-20,387,389,394.5,386.5,202.96K,-0.45%
7-Oct-20,388.75,384.5,392,384,186.78K,0.97%
6-Oct-20,385,378.5,389.25,378.5,213.44K,1.45%
5-Oct-20,379.5,378.75,382.5,377.75,119.04K,0.23%
4-Oct-20,378.62,378.62,378.62,378.62,-,-0.30%
2-Oct-20,379.75,381.5,383.25,377.25,164.09K,-0.78%
1-Oct-20,382.75,379,385.5,378,216.36K,0.99%
30-Sep-20,379,364.25,382.75,362,337.54K,3.91%
29-Sep-20,364.75,366.75,367.75,361,137.62K,-0.55%
28-Sep-20,366.75,364.25,369.75,360.5,162.09K,0.65%
27-Sep-20,364.38,364.38,364.38,364.38,-,-0.24%
25-Sep-20,365.25,363.25,367.5,363,130.07K,0.48%
24-Sep-20,363.5,368,368.25,363,152.37K,-1.36%
23-Sep-20,368.5,368.25,370.25,365.75,122.19K,-0.20%
22-Sep-20,369.25,369.75,373.25,365.75,159.15K,-0.14%
21-Sep-20,369.75,377.5,378.25,368.25,209.55K,-1.89%
20-Sep-20,376.88,376.88,376.88,376.88,-,-0.43%
18-Sep-20,378.5,374.25,379.25,373.25,180.03K,0.87%
17-Sep-20,375.25,371.5,377.25,368,235.21K,0.94%
16-Sep-20,371.75,365.5,372,361.75,158.94K,1.57%
15-Sep-20,366,369,369.5,365.25,133.02K,2.38%
14-Sep-20,357.5,366.75,366.75,359,0.22K,-2.05%
11-Sep-20,365,355.5,366,355.5,0.68K,2.17%
10-Sep-20,357.25,349.75,357.75,349.75,0.67K,2.07%
9-Sep-20,350,349.75,351.25,348.5,0.11K,-0.28%
8-Sep-20,351,348,353,346,0.87K,1.89%
7-Sep-20,344.5,344.5,344.5,344.5,-,-0.79%
4-Sep-20,347.25,344,349,343.5,1.68K,0.80%
3-Sep-20,344.5,349.75,350,343.75,1.45K,-1.50%
2-Sep-20,349.75,349.25,350.5,345.25,2.61K,0.07%
1-Sep-20,349.5,347.75,350,343.25,3.70K,0.29%
31-Aug-20,348.5,348.75,353,346,11.03K,-0.11%
30-Aug-20,348.88,348.88,348.88,348.88,-,0.83%
28-Aug-20,346,343.25,347.75,340.75,94.06K,0.51%
27-Aug-20,344.25,340,344.75,339,123.79K,1.10%
26-Aug-20,340.5,340.25,341.25,337.25,89.22K,-0.07%
25-Aug-20,340.75,335,341.5,334.75,147.00K,2.71%
24-Aug-20,331.75,328,332.5,327.5,126.82K,1.11%
23-Aug-20,328.12,328.12,328.12,328.12,-,0.34%
21-Aug-20,327,324.75,327.75,324.25,134.88K,0.77%
20-Aug-20,324.5,324.25,325.75,320.75,92.74K,-0.15%
19-Aug-20,325,326,327.25,323.5,87.62K,-0.61%
18-Aug-20,327,330,332,325.75,130.09K,-1.21%
17-Aug-20,331,327,331,326.5,111.93K,1.19%
16-Aug-20,327.12,327.12,327.12,327.12,-,0.81%
14-Aug-20,324.5,324.5,325.25,321.5,160.38K,-0.23%
13-Aug-20,325.25,315,327.5,314.75,317.36K,3.42%
12-Aug-20,314.5,311.25,315,308,209.80K,0.96%
11-Aug-20,311.5,311.25,315,310.25,170.71K,0.32%
10-Aug-20,310.5,307.5,311.75,307.5,167.51K,0.94%
9-Aug-20,307.62,307.62,307.62,307.62,-,-0.04%
7-Aug-20,307.75,311,311.75,307.25,124.48K,-1.12%
6-Aug-20,311.25,310.5,312.75,309.5,106.03K,0.08%
5-Aug-20,311,309,311.25,309,103.36K,0.89%
4-Aug-20,308.25,316.5,316.75,308.25,161.83K,-2.91%
3-Aug-20,317.5,315,318.25,315,83.19K,0.76%
2-Aug-20,315.12,315.12,315.12,315.12,-,-0.28%
31-Jul-20,316,315.75,317.5,314.5,77.06K,0.08%
30-Jul-20,315.75,315.5,319.25,315.25,120.45K,0.08%
29-Jul-20,315.5,320,321.5,315.25,136.66K,-1.41%
28-Jul-20,320,323,323.5,320,110.74K,-1.54%
27-Jul-20,325,325.25,327.5,323.25,96.02K,0.12%
26-Jul-20,324.62,324.62,324.62,324.62,-,-0.50%
24-Jul-20,326.25,328,329.75,325.5,144.24K,-0.53%
23-Jul-20,328,327.25,329.5,325,92.65K,0.15%
22-Jul-20,327.5,323,328,322.25,122.91K,1.47%
21-Jul-20,322.75,327.75,327.75,322,132.25K,-1.68%
20-Jul-20,328.25,333,333.5,326,105.21K,-1.31%
19-Jul-20,332.62,332.62,332.62,332.62,-,-0.11%
17-Jul-20,333,330.25,334.75,330.25,83.69K,0.83%
16-Jul-20,330.25,326,333.25,326,109.53K,1.23%
15-Jul-20,326.25,326,328.75,322.75,101.70K,-2.54%
14-Jul-20,334.75,334,336.5,324.5,0.15K,0.22%
13-Jul-20,334,337.25,337.25,332,0.44K,0.26%
12-Jul-20,333.12,333.12,333.12,333.12,-,-2.17%
10-Jul-20,340.5,350.25,352,340,0.81K,-3.06%
9-Jul-20,351.25,349,356.5,348.25,0.50K,0.86%
8-Jul-20,348.25,343.5,348.5,341,0.35K,0.94%
7-Jul-20,345,347.5,347.5,341.75,1.27K,-0.43%
6-Jul-20,346.5,348.25,349,345.25,2.09K,0.36%
5-Jul-20,345.25,345,345.25,345,-,0.80%
2-Jul-20,342.5,347.5,350.25,342.25,2.49K,-1.65%
1-Jul-20,348.25,338.5,351.25,337.5,4.58K,2.88%
30-Jun-20,338.5,325.25,342,323.75,21.41K,3.75%
29-Jun-20,326.25,316.75,326.5,316,150.22K,3.24%
28-Jun-20,316,316.5,316.5,316,-,-0.32%
26-Jun-20,317,317,319.75,313.5,216.58K,-0.08%
25-Jun-20,317.25,323.5,324.25,315,194.69K,-2.16%
24-Jun-20,324.25,324.5,329,323.75,180.31K,-0.23%
23-Jun-20,325,327.5,327.5,321.25,185.86K,-0.99%
22-Jun-20,328.25,332,332.25,328,134.48K,-1.02%
21-Jun-20,331.62,331.62,331.62,331.62,-,-0.26%
19-Jun-20,332.5,329.75,333.75,327.5,170.57K,0.45%
18-Jun-20,331,329.75,333.75,328.75,201.44K,0.23%
17-Jun-20,330.25,328,331.25,325,225.64K,0.38%
16-Jun-20,329,331.75,334.5,328,229.10K,-0.08%
15-Jun-20,329.25,329.25,330,325.5,170.74K,0.11%
14-Jun-20,328.88,328.88,328.88,328.88,-,-0.34%
12-Jun-20,330,329.5,333,328.25,236.62K,0.08%
11-Jun-20,329.75,326,331,325.25,272.98K,1.07%
10-Jun-20,326.25,327.25,328,324.25,243.29K,-0.38%
9-Jun-20,327.5,332.25,334,326.75,253.63K,-1.87%
8-Jun-20,333.75,333.5,334.75,331,206.34K,0.11%
7-Jun-20,333.38,333.38,333.38,333.38,-,0.64%
5-Jun-20,331.25,328.75,332.5,328.25,215.91K,0.68%
4-Jun-20,329,324.25,329.5,324,155.61K,1.54%
3-Jun-20,324,324.25,324.5,321.25,128.01K,-0.08%
2-Jun-20,324.25,323.5,325.25,322,130.47K,0.31%
1-Jun-20,323.25,325.5,327.75,319.25,151.32K,-0.58%
31-May-20,325.12,325.38,325.38,325.12,-,-0.19%
29-May-20,325.75,327.5,329.5,323.25,192.31K,-0.53%
28-May-20,327.5,320.25,330.75,319.5,246.97K,2.18%
27-May-20,320.5,320,321.75,319.25,78.42K,0.47%
26-May-20,319,316.75,323,316.5,145.18K,0.67%
25-May-20,316.88,316.88,316.88,316.88,-,-0.35%
22-May-20,318,317.75,319,316,97.19K,0.08%
21-May-20,317.75,319,320.25,316.25,115.12K,-0.55%
20-May-20,319.5,321.25,321.5,317.25,154.47K,-0.54%
19-May-20,321.25,320.75,325.5,320.5,126.38K,0.16%
18-May-20,320.75,320,322,318,99.37K,0.04%
17-May-20,320.62,320.62,320.62,320.62,-,0.43%
15-May-20,319.25,317.75,320.5,316.75,101.61K,-0.31%
14-May-20,320.25,320.25,320.25,320.25,0.06K,0.00%
13-May-20,320.25,323.5,323.5,320,0.09K,-1.08%
12-May-20,323.75,318.75,324.5,312.75,0.27K,1.65%
11-May-20,318.5,320,322.25,318,0.33K,-0.74%
10-May-20,320.88,320.88,320.88,320.88,-,0.59%
8-May-20,319,317.75,321.75,317.5,1.07K,0.95%
7-May-20,316,313.5,318,313.25,1.08K,1.36%
6-May-20,311.75,315,315,311,0.52K,-0.40%
5-May-20,313,310.5,314.75,310.5,0.87K,0.72%
4-May-20,310.75,309.5,310,305.5,2.62K,-1.93%
3-May-20,316.88,316.88,316.88,316.88,-,1.73%
1-May-20,311.5,311,311.5,308,3.51K,0.00%
30-Apr-20,311.5,305.25,313,303.5,11.09K,2.30%
29-Apr-20,304.5,302.75,308.75,300.25,121.80K,0.58%
28-Apr-20,302.75,305,308.5,301.25,138.10K,-0.90%
27-Apr-20,305.5,315,315.75,304.25,108.69K,-5.24%
26-Apr-20,322.38,322.38,322.38,322.38,-,2.10%
24-Apr-20,315.75,319.25,320.75,312,113.48K,-1.10%
23-Apr-20,319.25,317,323.5,315,136.85K,0.55%
22-Apr-20,317.5,310,320.25,308.25,146.97K,2.67%
21-Apr-20,309.25,314.25,316.25,301,197.93K,-1.59%
20-Apr-20,314.25,322.5,323.25,313.5,150.68K,-2.52%
19-Apr-20,322.38,322.38,322.38,322.38,-,0.04%
17-Apr-20,322.25,319.75,325.5,319.5,99.36K,0.78%
16-Apr-20,319.75,318.75,323,317.75,136.58K,0.16%
15-Apr-20,319.25,326,326.75,317.5,161.44K,-2.07%
14-Apr-20,326,331.25,332,325.75,191.91K,-1.66%
13-Apr-20,331.5,332.25,334,326.5,147.09K,-0.34%
12-Apr-20,332.62,332.62,332.62,332.62,-,0.11%
10-Apr-20,332.25,332.25,332.25,332.25,-,0.15%
9-Apr-20,331.75,330.75,333.5,328,169.67K,0.53%
8-Apr-20,330,332,334,328.25,151.31K,-0.45%
7-Apr-20,331.5,328,335.5,328,157.37K,1.14%
6-Apr-20,327.75,329.75,331.75,325.5,111.04K,-0.49%
5-Apr-20,329.38,329.38,329.38,329.38,-,-0.41%
3-Apr-20,330.75,334.5,338.5,328,158.65K,-0.82%
2-Apr-20,333.5,335,343.25,333,151.69K,-0.37%
1-Apr-20,334.75,341.25,342.75,333.5,151.93K,-1.76%
31-Mar-20,340.75,341.75,344.75,333.5,208.19K,-0.15%
30-Mar-20,341.25,343,346.75,340,108.49K,-0.44%
29-Mar-20,342.75,342.75,342.75,342.75,-,-0.94%
27-Mar-20,346,348.5,350,342.5,114.03K,-0.79%
26-Mar-20,348.75,348.25,349.25,343.75,113.53K,0.07%
25-Mar-20,348.5,347.5,352.75,345.75,118.83K,0.36%
24-Mar-20,347.25,343.5,350.5,338,126.66K,1.09%
23-Mar-20,343.5,340.25,345.5,338.25,114.73K,0.92%
22-Mar-20,340.38,340.38,340.38,340.38,-,-0.98%
20-Mar-20,343.75,346.5,356.75,342.25,189.07K,-0.51%
19-Mar-20,345.5,336.5,354.75,336.5,223.25K,3.06%
18-Mar-20,335.25,344,345.25,332,255.11K,-2.54%
17-Mar-20,344,355.25,356.75,342.75,219.22K,-3.03%
16-Mar-20,354.75,362.5,367.75,354,188.79K,-2.17%
15-Mar-20,362.62,362.62,362.62,362.62,-,-2.19%
13-Mar-20,370.75,370,375.5,370,0.12K,0.27%
12-Mar-20,369.75,377.5,377.5,367,0.34K,-2.50%
11-Mar-20,379.25,380.25,380.5,377,0.94K,-0.20%
10-Mar-20,380,379,381.5,377.5,0.61K,1.54%
9-Mar-20,374.25,372,377.5,368.5,0.92K,1.04%
8-Mar-20,370.38,370.38,370.38,370.38,-,-1.82%
6-Mar-20,377.25,383.75,385.5,377,1.28K,-1.89%
5-Mar-20,384.5,387.5,387.5,382,1.83K,-0.65%
4-Mar-20,387,382,388.5,380,3.28K,1.38%
3-Mar-20,381.75,375.75,383.75,375.75,3.19K,1.87%
2-Mar-20,374.75,366.5,375.75,366,6.09K,2.25%
28-Feb-20,366.5,364.5,367.25,362.75,18.81K,0.55%
27-Feb-20,364.5,369.75,370,361.75,156.14K,-1.62%
26-Feb-20,370.5,372,374,368.25,268.80K,-0.54%
25-Feb-20,372.5,373,374.75,371.25,119.87K,0.07%
24-Feb-20,372.25,376.25,376.25,370,170.53K,-1.26%
21-Feb-20,377,378.25,380.5,376.25,169.07K,-0.40%
20-Feb-20,378.5,380.75,381.25,378,173.14K,-0.53%
19-Feb-20,380.5,382.25,382.75,378.5,172.27K,-0.65%
18-Feb-20,383,378.5,383.25,378,215.11K,1.39%
14-Feb-20,377.75,379.5,381.5,376.25,216.86K,-0.46%
13-Feb-20,379.5,382.25,382.75,379,202.46K,-0.91%
12-Feb-20,383,379.75,383.75,378.25,241.46K,0.86%
11-Feb-20,379.75,381,382,378,200.41K,-0.52%
10-Feb-20,381.75,383.25,383.5,379,219.02K,-0.46%
7-Feb-20,383.5,380.25,385,380,256.72K,1.12%
6-Feb-20,379.25,380.25,381.75,376,191.89K,-0.39%
5-Feb-20,380.75,381.5,383.25,379.5,122.10K,-0.39%
4-Feb-20,382.25,378.25,383.5,378.25,176.00K,0.92%
3-Feb-20,378.75,380.5,382,376.5,216.44K,-0.66%
31-Jan-20,381.25,381.5,382.75,378.75,151.81K,0.46%
30-Jan-20,379.5,384.5,385,378.5,160.21K,-1.24%
29-Jan-20,384.25,385.5,388.25,382.75,136.81K,-0.58%
28-Jan-20,386.5,382.5,387,378.5,243.27K,1.58%
27-Jan-20,380.5,384.25,384.75,377.25,264.47K,-1.74%
24-Jan-20,387.25,393.25,393.25,386.5,196.12K,-1.65%
23-Jan-20,393.75,388.5,394,387.5,256.30K,1.29%
22-Jan-20,388.75,387.5,391,386.75,155.60K,0.32%
21-Jan-20,387.5,389,389.25,384.25,182.96K,-0.45%
17-Jan-20,389.25,377,389.5,376.75,293.12K,3.66%
16-Jan-20,375.5,387.25,387.75,375.25,230.56K,-3.10%
15-Jan-20,387.5,388.75,390.25,386.5,141.48K,-0.39%
14-Jan-20,389,389.25,390.5,388.25,115.96K,-0.13%
13-Jan-20,389.5,386.5,389.5,385.5,139.99K,0.97%
10-Jan-20,385.75,383.25,386.75,376.5,226.66K,0.65%
9-Jan-20,383.25,383.75,387,382.25,130.94K,-0.26%
8-Jan-20,384.25,384,385.5,382.25,135.52K,-0.07%
7-Jan-20,384.5,385,385.75,383.5,93.54K,-0.06%
6-Jan-20,384.75,386.25,387.75,382.75,112.13K,-0.45%
3-Jan-20,386.5,391.5,392,385.5,125.93K,-1.28%
2-Jan-20,391.5,387.75,392,387.25,103.99K,1.10%
1-Jan-20,387.25,387.25,387.25,387.25,-,-0.13%
31-Dec-19,387.75,388.25,389.75,386.25,85.10K,-0.13%
30-Dec-19,388.25,389.25,392,386.75,123.53K,-0.45%
27-Dec-19,390,388,391,388,85.21K,0.39%
26-Dec-19,388.5,388,389,386.5,49.93K,0.06%
25-Dec-19,388.25,388.25,388.25,388.25,-,0.19%
24-Dec-19,387.5,388.5,389,387,50.42K,-0.32%
23-Dec-19,388.75,388,390.25,387.25,82.26K,0.26%
20-Dec-19,387.75,386.5,389.5,386,85.33K,0.32%
19-Dec-19,386.5,387,389,385,99.13K,-0.13%
18-Dec-19,387,389.25,390,385.75,125.53K,-0.77%
17-Dec-19,390,387.5,390.5,386.25,118.24K,0.52%
16-Dec-19,388,383.5,389.5,383.25,180.90K,5.94%
13-Dec-19,366.25,373.75,374.5,366.25,0.09K,-0.20%
12-Dec-19,367,358.25,368.75,358.25,0.66K,2.59%
11-Dec-19,357.75,363,363,357,0.26K,-1.51%
10-Dec-19,363.25,365.75,367,362.5,0.89K,-0.68%
9-Dec-19,365.75,366.5,368,365,0.64K,-0.20%
6-Dec-19,366.5,364.75,368.75,364.75,0.96K,0.27%
5-Dec-19,365.5,368.5,369.75,365.25,3.03K,-0.88%
4-Dec-19,368.75,371.75,373.5,367.75,2.99K,-0.87%
3-Dec-19,372,373.75,376.25,371.5,4.94K,-0.40%
2-Dec-19,373.5,371.75,375.5,370,6.28K,-1.90%
1-Dec-19,380.75,380.75,380.75,380.75,-,2.56%
29-Nov-19,371.25,365.75,372.25,365,15.51K,-0.60%
28-Nov-19,373.5,373.5,373.5,373.5,-,2.96%
27-Nov-19,362.75,367.25,368.75,362.25,163.97K,-1.29%
26-Nov-19,367.5,369.75,370.5,367,207.68K,-0.81%
25-Nov-19,370.5,368.75,372.75,368.25,199.30K,0.47%
22-Nov-19,368.75,368,370.25,367.5,228.11K,0.07%
21-Nov-19,368.5,366.75,369.75,366.25,158.70K,0.48%
20-Nov-19,366.75,369.75,370.5,365.75,297.02K,-0.88%
19-Nov-19,370,367.75,373,367.75,202.02K,0.61%
18-Nov-19,367.75,371,371.75,367.5,206.27K,-0.94%
15-Nov-19,371.25,375.5,376.5,370.75,140.18K,-1.20%
14-Nov-19,375.75,375.25,377.5,374.5,144.89K,0.13%
13-Nov-19,375.25,377,377.75,375,195.98K,-0.66%
12-Nov-19,377.75,373.5,378,372.75,220.51K,1.21%
11-Nov-19,373.25,376,377,372.5,211.22K,-1.06%
8-Nov-19,377.25,375.25,383.75,372.5,343.77K,0.53%
7-Nov-19,375.25,379.25,380,373.75,219.15K,-0.92%
6-Nov-19,378.75,382.25,385,377.5,185.34K,-0.79%
5-Nov-19,381.75,383.25,384.75,380.5,157.13K,-0.39%
4-Nov-19,383.25,386.75,387.75,383,145.37K,-1.54%
1-Nov-19,389.25,389.25,391.75,386.25,151.94K,-0.19%
31-Oct-19,390,390.25,391,384.75,176.19K,-0.19%
30-Oct-19,390.75,385.75,391.25,385.25,177.03K,1.17%
29-Oct-19,386.25,383.5,387.5,382,153.73K,0.59%
28-Oct-19,384,386,386.5,383.25,122.79K,-0.71%
25-Oct-19,386.75,387,390,385.75,131.68K,0.00%
24-Oct-19,386.75,388.5,390.75,385.25,130.66K,-0.26%
23-Oct-19,387.75,387.75,389.5,384,117.56K,-0.06%
22-Oct-19,388,387,392.5,385,136.69K,0.19%
